find_number,material_category,material,start_date,end_date,level_1_of_the_functional_classification,level_2_of_the_functional_classification,ceramics_rim_eve_estimated_vessel_equivalent,ceramics_base_eve_estimated_vessel_equivalent,ceramics_reconstructed_object_diameter_in_mm,ceramics_reconstructed_object_height_in_mm,ceramics_surface_treatment,ceramics_decoration_technique,ceramics_image_type,ceramics_mark
NZR2.00932CER029,CER,porcelain: Europe,1900,1936,Food Processing & Consumption,Consumption: drinking,100,100,80,75,"feldspar glaze, painted, blue underglaze, enamel overglaze",gilded,NULL,NULL
NZR2.00932CER041,CER,industrial ware: white,1825,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,15,150,20,lead-glaze,overall white,NULL,NULL
NZR2.00932CER055,CER,industrial ware: white,1825,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,20,200,17,lead-glaze,overall white,NULL,NULL
NZR2.00932CER058,CER,industrial ware: white,1825,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,25,220,17,lead-glaze,overall white,NULL,NULL
NZR2.00934CER016,CER,porcelain: Europe,1800,1850,Food Processing & Consumption,Consumption: drinking,15,25,130,30,"feldspar glaze, painted with enamel overglaze",gilded,floral motif,NULL
NZR2.00934CER017,CER,porcelain: Europe,1825,1875,Food Processing & Consumption,Consumption: drinking,5,40,130,30,"feldspar glaze, painted with enamel overglaze",gilded,NULL,NULL
NZR2.00934CER031,CER,industrial ware: white,1760,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,10,260,25,lead-glaze,overall white,NULL,NULL
NZR2.00934CER033,CER,industrial ware: white,1760,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,15,260,25,lead-glaze,overall white,NULL,NULL
NZR2.00934CER034,CER,industrial ware: white,1800,1850,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,15,200,17,lead-glaze,overall white,NULL,NULL
NZR2.00946CER003,CER,porcelain: Europe,1775,1850,Food Processing & Consumption,Consumption: drinking,25,35,135,30,"feldspar, painted with blue underglaze",blue-white,floral motif,NULL
NZR2.00949CER001,CER,"redware, slip: Lower Rhine region",1675,1750,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,5,360,40,inside lead-glaze,slipware,NULL,NULL
NZR2.00953CER006,CER,porcelain: China,1725,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,100,130,55,"feldspar, painted with blue underglaze",blue-white,mixture,NULL
NZR2.00955CER016,CER,redware,1700,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",30,40,260,65,lead-glaze,NULL,NULL,NULL
NZR2.00999CER049,CER,porcelain: China,1700,1775,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,10,270,40,"feldspar, painted with blue underglaze",blue-white,floral motif,NULL
NZR2.00999CER054,CER,porcelain: Europe,1825,1875,Food Processing & Consumption,Consumption: drinking,30,100,75,65,"feldspar glaze, painted, blue underglaze, enamel overglaze",gilded,floral motif,NULL
NZR2.00999CER057,CER,porcelain: Europe,1850,1900,Food Processing & Consumption,Consumption: drinking,60,100,100,20,"feldspar glaze, painted with enamel overglaze",gilded,NULL,NULL
NZR2.00999CER085,CER,industrial ware: white,1825,1875,Food Processing & Consumption,Consumption: drinking,5,10,130,30,lead-glaze,"transfer printing, blue",floral motif,NULL
NZR2.00999CER086,CER,industrial ware: white,1775,1800,Food Processing & Consumption,Consumption: drinking,20,100,100,20,lead-glaze with blue underglaze,blue-white,chinese decor,NULL
